id,name
0,punching someone
1,kicking someone
2,pushing someone
3,slap someone on the back
4,point someone
5,hug
6,give something to someone
7,steal something from other’s pocket
8,rob something from someone
9,shake hands
10,walk toward someone
11,walk away from someone
12,hit someone with something
13,threat some with a knife
14,bump into someone
15,walk side by side
16,high five
17,drink a toast
18,move something with someone
19,take a phone for someone
20,stalk someone
21,whisper in someone’s ear
22,exchange something with someone
23,lend an arm to support someone
24,rock-paper-scissors
25,land
26,land at designated locations
27,move forward
28,move backward
29,move left
30,move right
31,ascend
32,descend
33,accelerate
34,decelerate
35,come over here
36,stay where you are
37,rear right turn
38,rear left turn
39,abandon landing
40,all clear
41,not clear
42,have command
43,follow me
44,turn left
45,turn right
46,throw litter
47,mow
48,set on fire
49,smoke
50,fishing
51,pick a lock
52,hold someone hostage
53,threat someone with a gun
54,wave a goodbye
55,chase someone
56,comfort someone
57,drag someone
58,sweep the floor
59,mop the floor
60,bounce the ball
61,shoot at the basket
62,swing the racket
63,leg pressing
64,escape (to survive)
65,call for help
66,wear a mask
67,take off a mask
68,bend arms around someone’s shoulder
69,run
70,stab someone with a knife
71,throw a frisbee
72,carry a carrying pole
73,use a lever to lift something
74,walk
75,open an umbrella
76,close an umbrella
